2026-08-03 14:37:45.795 [INFO] [Logger] enabled=True, retention=7d, dir=D:\Programms\kil0bit\kil0bit-system-monitor-3.3.4\bin\Release\net8.0-windows\log
2026-08-03 14:37:50.285 [INFO] [Taskbar.Bounds] hwnd=0x100E2 iconRight=639 trayLeft=2253
2026-08-03 14:37:50.355 [INFO] [Taskbar.Bounds] hwnd=0x100E2 iconRight=639 trayLeft=2253
2026-08-03 14:37:50.367 [INFO] [Taskbar.Bounds] hwnd=0x1012E iconRight=2660 trayLeft=5054
2026-08-03 14:37:50.440 [INFO] [Taskbar.Bounds] hwnd=0x100E2 iconRight=639 trayLeft=2253
2026-08-03 14:37:50.448 [INFO] [Taskbar.Bounds] hwnd=0x1012E iconRight=2660 trayLeft=5054
2026-08-03 14:37:51.067 [INFO] [Taskbar.Bounds] hwnd=0x100E2 iconRight=688 trayLeft=2253
2026-08-03 14:37:51.140 [INFO] [Taskbar.Bounds] hwnd=0x1012E iconRight=2660 trayLeft=5054
2026-08-03 14:37:51.247 [INFO] [Taskbar.Bounds] hwnd=0x100E2 iconRight=688 trayLeft=2253
2026-08-03 14:37:51.253 [INFO] [Taskbar.Bounds] hwnd=0x1012E iconRight=2660 trayLeft=5054
2026-08-03 14:37:51.779 [INFO] [Taskbar.Bounds] hwnd=0x100E2 iconRight=688 trayLeft=2253
2026-08-03 14:37:51.785 [INFO] [Taskbar.Bounds] hwnd=0x1012E iconRight=2660 trayLeft=5054
2026-08-03 14:37:52.305 [INFO] [Taskbar.Bounds] hwnd=0x100E2 iconRight=688 trayLeft=2253
2026-08-03 14:37:52.312 [INFO] [Taskbar.Bounds] hwnd=0x1012E iconRight=2660 trayLeft=5054
2026-08-03 14:37:54.781 [INFO] [Taskbar.Bounds] hwnd=0x100E2 iconRight=688 trayLeft=2253
2026-08-03 14:37:54.788 [INFO] [Taskbar.Bounds] hwnd=0x1012E iconRight=2660 trayLeft=5054
2026-08-03 14:37:54.973 [INFO] [Taskbar.Bounds] hwnd=0x100E2 iconRight=688 trayLeft=2253
2026-08-03 14:37:54.978 [INFO] [Taskbar.Bounds] hwnd=0x1012E iconRight=2660 trayLeft=5054
