2026-08-03 14:39:57.689 [INFO] [Logger] enabled=True, retention=7d, dir=D:\Programms\kil0bit\kil0bit-system-monitor-3.3.4\bin\Release\net8.0-windows\log
2026-08-03 14:40:02.076 [INFO] [Taskbar.Bounds] hwnd=0x100E2 iconRight=639 trayLeft=2253
2026-08-03 14:40:02.135 [INFO] [Taskbar.Bounds] hwnd=0x100E2 iconRight=639 trayLeft=2253
2026-08-03 14:40:02.147 [INFO] [Taskbar.Bounds] hwnd=0x1012E iconRight=2660 trayLeft=5054
2026-08-03 14:40:02.220 [INFO] [Taskbar.Bounds] hwnd=0x100E2 iconRight=639 trayLeft=2253
2026-08-03 14:40:02.227 [INFO] [Taskbar.Bounds] hwnd=0x1012E iconRight=2660 trayLeft=5054
2026-08-03 14:40:02.753 [INFO] [Taskbar.Bounds] hwnd=0x100E2 iconRight=688 trayLeft=2253
2026-08-03 14:40:02.779 [INFO] [Taskbar.Bounds] hwnd=0x1012E iconRight=2660 trayLeft=5054
2026-08-03 14:40:03.003 [INFO] [Taskbar.Bounds] hwnd=0x100E2 iconRight=688 trayLeft=2253
2026-08-03 14:40:03.007 [INFO] [Taskbar.Bounds] hwnd=0x1012E iconRight=2660 trayLeft=5054
2026-08-03 14:40:03.529 [INFO] [Taskbar.Bounds] hwnd=0x100E2 iconRight=688 trayLeft=2253
2026-08-03 14:40:03.538 [INFO] [Taskbar.Bounds] hwnd=0x1012E iconRight=2660 trayLeft=5054
2026-08-03 14:40:04.059 [INFO] [Taskbar.Bounds] hwnd=0x100E2 iconRight=688 trayLeft=2253
2026-08-03 14:40:04.064 [INFO] [Taskbar.Bounds] hwnd=0x1012E iconRight=2660 trayLeft=5054
2026-08-03 14:40:06.571 [INFO] [Taskbar.Bounds] hwnd=0x100E2 iconRight=688 trayLeft=2253
2026-08-03 14:40:06.576 [INFO] [Taskbar.Bounds] hwnd=0x1012E iconRight=2660 trayLeft=5054
2026-08-03 14:40:06.712 [INFO] [Taskbar.Bounds] hwnd=0x100E2 iconRight=688 trayLeft=2253
2026-08-03 14:40:06.717 [INFO] [Taskbar.Bounds] hwnd=0x1012E iconRight=2660 trayLeft=5054
